Wall time,Step,Value
1638816491.0991337,3933,700.0
1638816492.6084566,3936,700.0
1638816507.7009778,3966,700.0
1638816512.226329,3975,700.0
1638816515.2442913,3981,700.0
1638816530.836235,4012,700.0
1638816531.8425603,4014,700.0
1638816536.3687844,4023,700.0
1638816541.8993244,4034,693.0
1638816544.9181623,4040,693.0
1638816548.4375281,4047,693.0
1638816567.0521083,4084,693.0
1638816579.6252637,4109,700.0
1638816582.6455698,4115,700.0
1638816585.6635427,4121,352.0
1638816587.1714306,4124,352.0
1638816598.238598,4146,352.0
1638816615.844754,4181,585.0
1638816621.3769302,4192,585.0
1638816628.9195478,4207,585.0
1638816638.9840696,4227,585.0
1638816648.5388155,4246,700.0
1638816650.0473857,4249,700.0
1638816651.5552418,4252,242.0
1638816654.070909,4257,242.0
1638816684.7457933,4318,700.0
1638816687.2673838,4323,700.0
1638816689.7826056,4328,700.0
1638816692.801948,4334,700.0
1638816715.4323504,4379,700.0
1638816723.479103,4395,700.0
1638816737.0522728,4422,700.0
1638816743.5911858,4435,700.0
1638816747.617338,4443,700.0
1638816753.148751,4454,700.0
1638816759.1851306,4466,245.0
1638816770.751369,4489,245.0
1638816773.7683249,4495,245.0
1638816788.8548212,4525,700.0
1638816793.886317,4535,700.0
1638816795.8962932,4539,700.0
1638816808.4689178,4564,700.0
1638816810.4798548,4568,700.0
1638816813.4976442,4574,700.0
1638816831.1073084,4609,700.0
1638816832.6164253,4612,700.0
1638816851.225983,4649,700.0
1638816855.757518,4658,700.0
1638816856.261883,4659,700.0
1638816860.2864819,4667,700.0
1638816865.8166382,4678,700.0
1638816869.840164,4686,700.0
1638816871.8502882,4690,700.0
1638816872.8557277,4692,700.0
1638816875.8746347,4698,700.0
1638816880.3999777,4707,700.0
1638816884.9318378,4716,700.0
1638816891.9729671,4730,700.0
1638816895.491933,4737,700.0
1638816906.640853,4759,700.0
1638816910.1596565,4766,700.0
1638816913.1755855,4772,700.0
1638816915.18574,4776,700.0
1638816915.6884468,4777,700.0
1638816929.2642865,4804,378.0
1638816930.7730796,4807,378.0
1638816932.2820106,4810,378.0
1638816934.2941742,4814,378.0
1638816942.3490293,4830,378.0
1638816943.3537123,4832,378.0
1638816944.8635972,4835,378.0
1638816945.3664107,4836,378.0
1638816949.3889632,4844,378.0
1638816968.5002687,4882,700.0
1638816975.0384567,4895,700.0
1638816982.5782285,4910,700.0
1638816992.1336312,4929,700.0
1638816994.14733,4933,700.0
1638816997.6687553,4940,700.0
1638817002.1942787,4949,700.0
1638817017.7884634,4980,522.0
1638817023.3191023,4991,522.0
1638817039.4122727,5023,522.0
1638817051.4806168,5047,700.0
1638817061.0361612,5066,481.0
1638817067.5720634,5079,481.0
1638817068.0743744,5080,481.0
1638817072.0975938,5088,481.0
1638817073.10312,5090,481.0
1638817075.6169484,5095,481.0
1638817094.2256691,5132,700.0
1638817096.2371616,5136,700.0
1638817098.2497108,5140,700.0
1638817103.781596,5151,700.0
1638817104.2844453,5152,700.0
1638817105.2900085,5154,700.0
1638817105.7928984,5155,700.0
1638817121.884135,5187,491.0
1638817127.4157724,5198,491.0
1638817128.4211354,5200,491.0
1638817130.9355726,5205,491.0
1638817131.9415736,5207,491.0
1638817137.4723487,5218,491.0
1638817140.9942415,5225,491.0
1638817147.5308266,5238,700.0
1638817155.0752258,5253,700.0
1638817159.6052346,5262,700.0
1638817161.1136844,5265,700.0
1638817176.206407,5295,700.0
1638817187.7708778,5318,700.0
1638817188.2738302,5319,700.0
1638817189.7823284,5322,700.0
1638817190.7880921,5324,700.0
1638817192.7991936,5328,700.0
1638817195.814631,5334,700.0
1638817209.903951,5362,700.0
1638817213.9280345,5370,700.0
1638817225.5062883,5393,700.0
1638817230.0295844,5402,700.0
1638817230.533738,5403,700.0
1638817251.6522126,5445,700.0
1638817256.1776147,5454,700.0
1638817258.6921144,5459,700.0
1638817281.330192,5504,700.0
1638817283.8452466,5509,700.0
1638817284.3481076,5510,700.0
1638817289.8811345,5521,700.0
1638817301.9517562,5545,700.0
1638817313.01409,5567,700.0
1638817331.621825,5604,700.0
1638817356.2776456,5653,700.0
1638817363.3203247,5667,700.0
1638817391.4889076,5723,700.0
1638817395.0087054,5730,125.0
1638817406.073205,5752,125.0
1638817407.5805695,5755,125.0
1638817408.5852866,5757,125.0
1638817409.0880063,5758,125.0
1638817420.6551414,5781,125.0
1638817424.6790674,5789,700.0
1638817446.299755,5832,700.0
1638817463.40079,5866,700.0
1638817469.9454718,5879,700.0
1638817471.454449,5882,700.0
1638817504.6460836,5948,697.0
1638817508.6863186,5956,697.0
1638817512.7116125,5964,697.0
1638817521.2597916,5981,700.0
1638817525.786367,5990,700.0
1638817529.306964,5997,700.0
1638817532.3252478,6003,700.0
1638817535.3429868,6009,700.0
1638817553.4416556,6045,694.0
1638817557.4757614,6053,694.0
1638817569.0427868,6076,694.0
1638817570.0478356,6078,694.0
1638817570.5502195,6079,694.0
1638817586.640184,6111,700.0
1638817587.645646,6113,700.0
1638817597.701756,6133,700.0
1638817600.2146254,6138,700.0
1638817601.2201715,6140,700.0
1638817602.225972,6142,700.0
1638817615.2986197,6168,700.0
1638817633.9090104,6205,700.0
1638817636.927402,6211,700.0
1638817641.9562867,6221,700.0
1638817643.96788,6225,700.0
1638817653.0171268,6243,700.0
1638817657.041524,6251,700.0
1638817671.120775,6279,700.0
1638817672.1273627,6281,700.0
1638817675.646134,6288,700.0
1638817679.6665497,6296,700.0
1638817680.1688852,6297,700.0
1638817681.677171,6300,700.0
1638817688.715168,6314,700.0
1638817695.7548416,6328,700.0
1638817697.7675264,6332,700.0
1638817698.77341,6334,700.0
1638817705.310005,6347,700.0
1638817710.8429527,6358,700.0
1638817711.3458252,6359,700.0
1638817713.860351,6364,700.0
1638817716.3758552,6369,700.0
1638817734.9811745,6406,700.0
1638817744.0355566,6424,700.0
1638817753.588243,6443,464.0
1638817756.6047566,6449,464.0
1638817761.6353812,6459,464.0
1638817768.6748981,6473,464.0
1638817777.7244763,6491,464.0
1638817779.2324204,6494,464.0
1638817796.3303354,6528,700.0
1638817797.8377838,6531,700.0
1638817802.3621123,6540,700.0
1638817805.3797247,6546,700.0
1638817807.9028378,6551,700.0
1638817814.445301,6564,700.0
1638817816.959976,6569,700.0
1638817825.0077202,6585,700.0
1638817827.523215,6590,700.0
1638817830.0367799,6595,700.0
1638817832.0480452,6599,700.0
1638817840.089127,6615,537.0
1638817847.129515,6629,537.0
1638817857.187445,6649,537.0
1638817869.2579875,6673,700.0
1638817886.8584757,6708,700.0
1638817890.3784845,6715,700.0
1638817892.8938324,6720,700.0
1638817893.8988106,6722,700.0
1638817894.9039762,6724,700.0
1638817897.921364,6730,700.0
1638817899.9318233,6734,700.0
1638817907.9789586,6750,700.0
1638817913.511672,6761,700.0
1638817921.05951,6776,700.0
1638817925.5840023,6785,700.0
1638817934.1327195,6802,684.0
1638817943.6904051,6821,684.0
1638817951.7405605,6837,684.0
1638817954.2550054,6842,684.0
1638817955.2605448,6844,684.0
1638817958.2788544,6850,684.0
1638817962.8062508,6859,700.0
1638817970.8513396,6875,700.0
1638817990.4692492,6914,577.0
1638817991.4742842,6916,577.0
1638817992.9831061,6919,577.0
1638817998.513244,6930,577.0
1638818002.0375223,6937,577.0
1638818021.1472862,6975,632.0
1638818029.1942012,6991,632.0
1638818031.7088027,6996,632.0
1638818032.714183,6998,632.0
1638818042.7688172,7018,632.0
1638818047.7977743,7028,700.0
1638818048.3010166,7029,700.0
1638818055.8438623,7044,700.0
1638818060.884277,7054,700.0
1638818077.4827256,7087,693.0
1638818092.5712945,7117,693.0
1638818094.0788796,7120,693.0
1638818097.0954056,7126,693.0
1638818116.2832506,7164,700.0
1638818122.8201556,7177,700.0
1638818123.322114,7178,700.0
1638818124.3283303,7180,700.0
1638818127.3454924,7186,700.0
1638818128.8637402,7189,700.0
1638818137.917393,7207,700.0
1638818146.969032,7225,700.0
1638818159.0387478,7249,700.0
1638818161.0496614,7253,700.0
1638818167.0827715,7265,545.0
1638818171.6094906,7274,545.0
1638818185.6983113,7302,545.0
1638818188.7151256,7308,545.0
1638818201.792199,7334,674.0
1638818203.8030138,7338,674.0
1638818204.8083115,7340,674.0
1638818211.3471072,7353,674.0
1638818213.8605533,7358,674.0
1638818218.3840156,7367,674.0
1638818223.414141,7377,674.0
1638818227.4369566,7385,700.0
1638818243.5305593,7417,700.0
1638818247.049756,7424,700.0
1638818252.5804203,7435,700.0
1638818253.0830674,7436,700.0
1638818267.1632903,7464,700.0
1638818269.1749892,7468,700.0
